Frequency (Hz),Level (dB),Frequency (kHz)
43.066406,-49.579975,0.043066406
86.132812,-50.937241,0.086132812
129.199219,-65.967857,0.129199219
172.265625,-69.474319,0.172265625
215.332031,-72.966713,0.215332031
258.398438,-74.523582,0.258398438
301.464844,-70.056686,0.301464844
344.53125,-74.955704,0.34453125
387.597656,-77.206894,0.387597656
430.664062,-75.691528,0.430664062
473.730469,-78.37793,0.473730469
516.796875,-73.04731,0.516796875
559.863281,-72.713318,0.559863281
602.929688,-78.147095,0.602929688
645.996094,-76.161964,0.645996094
689.0625,-77.673492,0.6890625
732.128906,-81.486855,0.732128906
775.195312,-80.535179,0.775195312
818.261719,-76.385254,0.818261719
861.328125,-68.273315,0.861328125
904.394531,-48.475349,0.904394531
947.460938,-24.801308,0.947460938
990.527344,-16.720667,0.990527344
1033.59375,-21.779499,1.03359375
1076.660156,-42.519596,1.076660156
1119.726562,-58.266113,1.119726562
1162.792969,-62.753113,1.162792969
1205.859375,-65.15596,1.205859375
1248.925781,-66.968468,1.248925781
1291.992188,-68.733795,1.291992188
1335.058594,-70.504639,1.335058594
1378.125,-70.913849,1.378125
1421.191406,-72.880539,1.421191406
1464.257812,-74.062393,1.464257812
1507.324219,-74.701324,1.507324219
1550.390625,-75.954651,1.550390625
1593.457031,-75.237122,1.593457031
1636.523438,-75.163765,1.636523438
1679.589844,-77.886368,1.679589844
1722.65625,-76.915138,1.72265625
1765.722656,-77.489693,1.765722656
1808.789062,-79.710693,1.808789062
1851.855469,-79.987358,1.851855469
1894.921875,-80.232979,1.894921875
1937.988281,-76.301842,1.937988281
1981.054688,-68.40303,1.981054688
2024.121094,-71.79837,2.024121094
2067.1875,-80.813286,2.0671875
2110.253906,-80.764786,2.110253906
2153.320312,-82.343704,2.153320312
2196.386719,-82.26506,2.196386719
2239.453125,-82.571373,2.239453125
2282.519531,-83.285629,2.282519531
2325.585938,-80.011009,2.325585938
2368.652344,-81.291367,2.368652344
2411.71875,-84.188362,2.41171875
2454.785156,-83.385223,2.454785156
2497.851562,-84.656464,2.497851562
2540.917969,-84.105621,2.540917969
2583.984375,-82.546249,2.583984375
2627.050781,-84.257126,2.627050781
2670.117188,-83.004456,2.670117188
2713.183594,-81.457031,2.713183594
2756.25,-85.352402,2.75625
2799.316406,-84.419907,2.799316406
2842.382812,-84.398033,2.842382812
2885.449219,-86.028542,2.885449219
2928.515625,-73.386032,2.928515625
2971.582031,-62.568798,2.971582031
3014.648438,-64.735931,3.014648438
3057.714844,-79.513832,3.057714844
3100.78125,-85.737999,3.10078125
3143.847656,-83.128914,3.143847656
3186.914062,-79.753738,3.186914062
3229.980469,-85.034622,3.229980469
